,name,conditional_probability,percentile,adjusted_p_value,should accept
180240,norepinephrine|ecgonine,0.01785714285714286,0.6490877653231576,0.02746446584135718,True
180242,norepinephrine|psychonaut,0.006493506493506493,0.3991473885046506,0.0162550881953867,True
180248,norepinephrine|norhyoscyamine,0.021978021978021976,0.6791080372048652,0.032331846734092146,True
180259,norepinephrine|methylene,0.028985507246376812,0.7417421893632244,0.039063473486237996,True
180270,norepinephrine|rolipram,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180274,norepinephrine|thymoanaesthetiser,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180292,norepinephrine|benzomorphans,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180296,norepinephrine|tolazoline,0.058823529411764705,0.8742845218220844,0.06704187518986937,False
180297,norepinephrine|paroxetine,0.027624309392265192,0.7326496541855474,0.037690226429001605,True
180299,norepinephrine|wormwood,0.005964214711729623,0.39205222990698785,0.015204713352352824,True
180308,norepinephrine|methylecgonine,0.07692307692307693,0.8988194610064393,0.08534456877382061,False
180309,norepinephrine|other,0.007363770250368188,0.4246064870021464,0.017338923857809246,True
180310,norepinephrine|dimethylcarbonate,0.07692307692307693,0.8988194610064393,0.08534456877382061,False
180312,norepinephrine|acetaminophen,0.0019305019305019305,0.23205342237061768,0.00819415436102256,True
180322,norepinephrine|ammonium,0.009345794392523366,0.46210946816122106,0.020181236455697422,True
180324,norepinephrine|ibogaine,0.005988023952095809,0.39252921535893154,0.015246870764316215,True
180325,norepinephrine|dihydrocodeine,0.006711409395973155,0.40528857619842595,0.016459596851753713,True
180327,norepinephrine|amphetamine,0.009769713886950453,0.4700989744812783,0.020780931047803805,True
180329,norepinephrine|adaptogen,0.006756756756756756,0.40919389458621513,0.016459596851753713,True
180334,norepinephrine|coricidin,0.007434944237918216,0.4250536608633437,0.017486872073813536,True
180336,norepinephrine|cpp,0.06666666666666668,0.8875804912950155,0.07493186793548677,False
180345,hydroxyl|oxycodone,0.0012944983818770227,0.182864297638922,0.007056004829652722,True
180349,hydroxyl|tranylcypromine,0.01092896174863388,0.4929644645838302,0.02215112343783534,True
180351,hydroxyl|hypericum,0.012820512820512822,0.5166646792272835,0.02466173196761567,True
180358,hydroxyl|hormone,0.0017889087656529517,0.2251669449081803,0.00784817625360484,True
180360,hydroxyl|fluoxetine,0.005235602094240838,0.3772060577152397,0.013841664300852355,True
180369,hydroxyl|dalcipran,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180372,hydroxyl|phenoperidine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180376,hydroxyl|methane,0.02,0.664500357739089,0.03006812477590534,True
180388,hydroxyl|LSD,0.00017593244194229416,0.004441927021225853,0.005396009230997905,True
180393,hydroxyl|caffeine,0.0006020469596628537,0.10699379918912473,0.005396009230997905,True
180405,hydroxyl|diethylpropion,0.016129032258064516,0.5813856427378965,0.02640943761061668,True
180407,hydroxyl|phenelzine,0.009478672985781991,0.468101597901264,0.020215704897957217,True
180410,hydroxyl|insulin,0.006289308176100629,0.3963450989744813,0.015812363473176397,True
180413,hydroxyl|meperidine,0.004739336492890996,0.35496661101836396,0.013210595256567688,True
180420,hydroxyl|cocaine,0.0007930214115781126,0.13689482470784642,0.005731352260145711,True
180421,hydroxyl|inositol,0.010526315789473684,0.4845874075840687,0.021656939207685553,True
180425,hydroxyl|selegiline,0.008403361344537815,0.44633913665633196,0.01876963330278176,True
180426,hydroxyl|piperidino,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180434,hydroxyl|chlorpromazine,0.005025125628140704,0.36268781302170283,0.013780772978773403,True
180437,hydroxyl|mescaline,0.00041459369817578774,0.06421416646792273,0.005396009230997905,True
180439,hydroxyl|psilocybin,0.010638297872340425,0.4870915812067732,0.02179642461701608,True
180440,hydroxyl|oxytocin,0.008547008547008548,0.45125804912950157,0.018847019109969415,True
180444,hydroxyl|opioids,0.0008014961261020572,0.13835559265442404,0.005731352260145711,True
180451,hydroxyl|propoxyphene,0.004291845493562232,0.33484378726448843,0.012702249931081282,True
180452,hydroxyl|mirtazapine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180454,hydroxyl|ketobemidone,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180461,hydroxyl|isomorphinans,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180462,hydroxyl|salvia,0.0005370569280343716,0.08815287383734796,0.005396009230997905,True
180476,hydroxyl|morphine,0.0005753739930955121,0.09292272835678511,0.005396009230997905,True
180479,hydroxyl|minaprine,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180481,hydroxyl|methadone,0.001092896174863388,0.1707906033865967,0.00630765817095965,True
180483,hydroxyl|sertraline,0.005847953216374269,0.3894288099212974,0.014976618009624253,True
180486,hydroxyl|anxiolytic,0.004329004329004329,0.3387789172430241,0.012702249931081282,True
180506,hydroxyl|N-Ethyl-3-piperidyl benzilate,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180523,hydroxyl|nicotine,0.0005096839959225281,0.08096828046744574,0.005396009230997905,True
180524,hydroxyl|naloxone,0.004694835680751174,0.34897448127832104,0.013210595256567688,True
180532,hydroxyl|benzphetamine,0.016129032258064516,0.5813856427378965,0.02640943761061668,True
180533,hydroxyl|phenylalkylamines,0.014084507042253521,0.5412890531838779,0.025876366755688038,True
180553,hydroxyl|bupropion,0.0041666666666666675,0.32876222275220607,0.01262571514604035,True
180554,hydroxyl|clortermine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180556,hydroxyl|dimethyl,0.023255813953488375,0.6890352969234438,0.033633397570743045,True
180567,hydroxyl|fluvoxamine,0.009433962264150943,0.4652993083710947,0.02019997639401757,True
180573,hydroxyl|ergometrine,0.005154639175257732,0.3701407107083234,0.013780772978773403,True
180575,hydroxyl|glucose,0.006666666666666667,0.4022179823515383,0.016459596851753713,True
180576,hydroxyl|aminorex,0.013333333333333334,0.529424040066778,0.025061825245619933,True
180579,hydroxyl|pramipexole,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
180582,hydroxyl|serotonin,0.0025113008538422904,0.26246124493202955,0.00955958645498023,True
180583,hydroxyl|pipradrol,0.015625,0.5711602671118531,0.02640943761061668,True
180597,hydroxyl|vinblastine,0.007874015748031496,0.43703792034342953,0.01796286617600439,True
180598,hydroxyl|marijuana,0.0009655616350177021,0.1528440257572144,0.006284206341682926,True
180604,hydroxyl|sumatriptan,0.026315789473684213,0.7239148580968281,0.03628182663811193,True
180609,hydroxyl|pyrovalerone,0.01694915254237288,0.618262580491295,0.02640943761061668,True
180617,hydroxyl|ritonavir,0.03125,0.7595397090388744,0.0409921007351791,True
180619,hydroxyl|methylphenidate,0.006153846153846155,0.3941688528499881,0.015593338524294864,True
180623,hydroxyl|norepinephrine,0.0034364261168384883,0.30395897925113285,0.011274596798046778,True
180632,hydroxyl|antidepressant,0.000945179584120983,0.14974362031958025,0.006219125925805071,True
180649,hydroxyl|thebaine,0.0033444816053511705,0.2929883138564274,0.011191315987193912,True
180653,hydroxyl|MDMA,0.0006545930613135501,0.1182923920820415,0.005396009230997905,True
