,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
dilantin,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,0,2,0
belladonna,35,17,2,4,13,6,0,7,3,1,1,10,1,1,0,1,18,1,14,6,2,7,7,9,17,3,0,0,4,8,6,24,3
machine,58,19,0,4,20,5,1,7,4,2,4,17,1,2,1,3,19,0,14,6,0,9,9,7,29,6,1,0,8,1,12,31,5
citalopram,15,8,0,0,2,4,0,4,3,1,0,1,0,1,0,1,8,0,3,2,0,1,3,1,8,1,0,0,3,1,4,2,0
salvia,75,26,5,7,28,12,2,14,6,2,8,24,2,0,0,3,31,3,21,11,0,9,10,14,35,8,2,0,10,7,13,48,7
choline,16,8,3,1,4,8,0,5,1,1,1,2,1,0,0,1,12,0,8,2,0,2,6,1,13,2,0,0,2,1,4,3,0
animal,72,30,8,7,26,15,1,19,6,2,4,18,5,4,2,3,35,1,23,9,2,10,10,12,42,11,0,0,12,13,12,43,7
phalaris,24,14,0,2,6,4,0,0,1,1,1,4,1,0,0,0,10,1,8,5,1,1,5,1,14,2,0,0,7,1,5,7,0
fever,39,20,2,3,10,11,0,12,3,2,1,12,1,2,1,0,19,1,12,4,1,2,8,2,21,3,1,0,3,9,9,22,5
blotter,50,22,0,5,16,9,2,8,3,1,2,15,1,0,0,2,23,0,13,6,0,9,6,8,30,5,0,0,4,2,9,28,3
brugmansia,17,16,2,1,7,6,0,4,3,0,2,8,1,0,0,0,13,1,7,4,1,2,7,4,12,0,0,0,2,2,6,12,0
benzedrex,2,2,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0
dexedrine,25,13,0,2,5,4,0,3,2,1,0,5,1,0,0,1,13,0,9,3,0,2,5,2,14,0,0,0,3,0,5,8,2
